Name ,Abbrev,GPS Abbrev,Category,UTME,UTMN,Date Created,Description,Territory
Little Crossing,Little X,LITTLX,x,735826,9826145,1-Oct-08,"Crossing on shortcut to Fisicamp road, not in Triangle",
Library of Alexandria Den,LOA D ,LOA D ,nd,724889,9841438,23-Feb-14,"natal den used by BART in Feb 2014, ancient wonders plain",South
Lobo ,Lobo,LOBO,o,739628,9778924,28-Jun-07,Not a landmark,
Locke Den,Locke D,LOCKE D,cd,725145,9840826,7-Aug-10,communal den in South territory,South
Log Cabin's Culvert,LogC C,LOGC C,o,721069,9847570,18-Sep-13,culvert south of POR X at short rd/breakfast plains rd junction,North
Lonely Tube,Lonely Tube,LNLY TUBE,o,725158,9841224,4-Feb-12,a culvert tube abandoned along the road,South
Long Gardenia Tree,Long Gardenia T,LONG G,t,717793,9844478,4-Jul-06,,
Lost Latrine,Lost Latrine,LATRIN,o,720782,9837962,29-Jun-08,Latrine near west side of Oz Valley,HZ
Lost Turtle Lugga Crossing,LTL X,LTL X,x,717865,9839722,22-Jul-11,,
Lumpy Crossing,Lumpy X,LUMPY,x,721868,9842897,5-Aug-06,,
Mag Den,Mag D,MAG D,cd,719366,9850839,13-Aug-10,communal den near long road to Olooloo,North
Magic Marsh,Magic M,MAGICMARSH,wtr,724859,9846540,4-Jun-10,marsh,North
Maji ya Ndege,Maji Ndege,MAji NDEGE,o,720930,9849994,18-Nov-11,point taken at the 'No offroading' sign  marking the southern boundary of Magi Ndege wetland on east side of short road to Oloololo,North
Malmo Den,Malmo D ,MALMO D,cd,720175,9851218,6-Feb-12,communal den close to Vaasa den in North territory,North
Mara Talek Junction,Mara Talek Junction,MARA T,o,729585,9841445,7-Jun-06,,South
Martin Darting T,Martin Darting T,MTN DART T,t,728823,9840776,21-Jul-12,tree/thicket by deoral used to drop off darted individuals in South,South
Masai Mama Tree,MM T,MM T,t,721048,9842920,6-Sep-08,Bent tree along SST census route,HZ?
Mashugana,Mashugana D,MASHUGANA D,cd,721208,9840487,8-Sep-13,Happy zebra communal den near Oy Vey Den,HZ
Mashugana Den II,Mashugana D II,MASHUGANA D2,cd,721189,9840596,9-Sep-13,communal den 80m away from mashugana d ,HZ
Medusa Tree,Medusa T,MEDUSA,t,714456,9842776,31-Dec-09,tree on burn 2 prey transect,HZ?
Mega Junction,Mega Junction,MEGA J,o,720751,9851603,21-Aug-06,,
Men's Room,Men's Room,MESNRM,o,720468,9838360,12-Oct-08,small dip in lugga near head of BBC lugga,HZ
Merry Christmas Den,Merry Christmas D,M XMAS D,cd,719746,9847140,27-Dec-12,communal den near EMA ND 12,
Metropolitan Tree,Metropolitan T,METROPOL T,t,716285,9842750,26-May-10,tree near burn 2 prey transect,HZ
Mexicali Den,Mexicali D,Mexicali D,cd,716255,9842748,3-Sep-12,communal den on border cities plain in HZ,HZ
Milky Way Den DELETED,Milky Way D DELETED,MILKY W D,cd,726313,9842410,7-Mar-11,South communal den on the candy bar plain (shown to us by Brian Heath),South
Mindy's Den,Mindy's D,Mindys Den,cd,721772,9847129,23-Jul-13,North communal den next to Stankho near Bordello D ,North
Monolith,Monolith,MONOLITH,o,726441,9842206,3-Oct-11,a stone in South territory,South
Moscow Den,Moscow D,MOSCOW D,cd,719942,9851358,5-Mar-11,North communal den on the northern European cities plain (N of HP dens),North
Mr. Cluck's Chicken Shack Den,Mr. Cluck's D,CLUCK D,nd,726936,9840626,4-Dec-10,Small natal den in the Lost series first used by BOR,South
Muddy Bit,Muddy Bit,MUDDY,o,716620,9837552,25-Jun-06,,
Muddy Waters,Muddy W ,MDYWTR,wtr,723516,9841763,20-Dec-08,a mudhole north of Phil's Tree,South
Muffin Den,Muffin D ,MUFFIN D,nd,723990,9845939,14-Nov-13,natal den on the breakfast plains used by LCS,North
Munchkin Den,Munchkin Den,MUNCHK D,cd,724000,9838092,9-Oct-08,"communal den in Oz Territory, near BBC lugga",Oz
Mungu Crossing,Mungu X,MUNGU,x,709794,9848125,4-Jul-06,,
Murram Pit Three,Murram P3,3 H2O,wtr,718800,9836563,29-Jun-08,"Waterhole on Main Road, south of Eqyptian Goose",HZ
Narok,Narok,NAROK,o,819414,9878973,25-Jun-06,Not a landmark,
National Corn Chip Day Den,Cornchip D,CORNCHIP D,cd,720449,9847591,29-Jan-13,communal den near POR X,North
New Queen's Throne Natal Den,New Queen's Throne ND,QUEEN ND,nd,719751,9851136,13-Jul-12,natal den used by Waffles near Malmo D,North
Ngira Are,Ngira Are,NGIRA,x,705352,9845775,6-Jun-06,,
Ngorbop Euphorbia,Ngorbo Euphorbia,NGORBO,t,735394,9857711,23-Jun-06,,
Nightmare Den,Nightmare D,NIGHT D,cd,727399,9840910,16-Mar-12,"communal den at 80m E from Kahana den, in Lost series",South
Nogales Den,Nogales D,NOGA D,cd,716267,9842643,18-Sep-09,communal den near Tijuan D,HZ
North Darting Tree,North Darting T,NDART T,t,720041,9846253,19-Jun-12,Tree between the short and long road to Oloololo used to drop off darted individuals,North
North Mara Bridge,North Mara Br,MARA N,x,726566,9864743,22-Jun-06,,
North Rocky Hill,N Rocky H,N ROCK,o,721419,9832038,11-Nov-06,,
North Swamp,North Swamp,NSWAMP,wtr,723599,9844169,19-Nov-08,small swamp along road between airstrip and lumpy x,North
North Waterhole,North Waterhole,N H20,wtr,719637,9842531,7-Jul-08,"Waterhole on main road, called Baghdad by everyone else",North
Nyumba Ndege Den,Nyumba N D,NYUMBA N D,cd,724224,9846508,22-Apr-11,North communal den on the Breakfast plain,North
Oceanic Den,Oceanic D,OCEAND,cd,725466,9841032,11-Sep-09,communal den near the Orchid D,South
Ol Keju Gem Crossing,Ol Keju Gem X,OL KEJ,x,737762,9835724,13-Aug-06,,
Ol Koruk Lookout,Ol Koruk Lookout,OL KOR,o,719893,9859653,21-Aug-06,,
Olare Springs,Olare Springs,OLARE,wtr,712594,9839371,6-Jun-06,Salt lick area on the Road to the Olare and wilderness area,
Ollivander's Den,Ollivander's D,OLLIVAND D,cd,719224,9848877,15-Dec-10,communal den near long road to Olooloo,North
Oloololo Gate,Oloololo Gate,O GATE,o,722289,9860816,5-Aug-06,,
Orchid Den,Orchid D,ORCH D,cd,725445,9840897,10-Aug-09,communal den in South territory,South
Oslo Den,Oslo D,OSLO D,cd,719597,9851224,19-Jan-11,North communal den on the northern European cities plain (N of HP dens),North
Others Den,Others D,OTHERS D,cd,725583,9840748,25-Jun-10,communal den in South territory,South
Oxytocin Den,Oxytocin D,Oxytocin D,cd,724934,9841116,,communal den near South Prey transect 1,South
Oy Vey Den,Oy Vey D,OYVEY D,cd,721091,9840261,28--Aug-13,,
Palm Lugga,Palm L,PALM L,wtr,712613,9837197,2-Nov-06,,
Pancake Den,Pancake D,PANCAKE D,nd,723933,9845900,24-Apr-11,North natal den (used by TNSL) on the Breakfast plain,North
Pangolin Place,Pangolin P,PANGOP,o,718954,9834283,24-Feb-09,rocky plain E of main road,17km
Pearl Den,Pearl D,PEARLD,cd,725783,9840988,29-Aug-09,communal den E of Orchid D,South
Peeper Natal Den 2012,PEEP ND 12,PEEP ND 12,nd,719360,9850868,27-Dec-12,"Natal den used by PEEP December 2012, determined by GPS data",North
Phil's Tree,Phil's T,PHIL T,t,724090,9842018,25-Nov-08,Tree south of South Den,South
Pion's Crossing,Pion X,PION X ,x,720574,9848512,7-Feb-13,crossing just north of lion lugga,North
Pile-o-rocks Crossing,POR X,PILEOR,x,721209,9848004,21-Aug-06,,
Pineapple Place,Pineapple Place,PNAPPL,x,724264,9838409,3-Nov-08,crossing on tributary to BBC lugga,Oz
Polar Bear Den,Polar Bear D,POLRBEAR D,cd,725352,9840838,14-Jul-10,communal den in South territory,South
Pride Rock,Pride R,PRIDER,o,718416,9839082,27-Jul-08,"Rock along Main Road, near Egyptian Goose",HZ
Privet Drive Den,Privet Drive D,PRIV DR D,cd,717846,9849364,16-Oct-10,communal den near long road to Olooloo,North
Pudding Hill,Pudding H,PUD H,h,718425,9833894,14-Jul-08,"Large hill along main Road, south of Third Waterhole",17km
Railroad Den,RR D,RRDEN,cd,724422,9841651,,communal den near South D,South
Rainstick Tree,Rainstick T,RAINST,t,725305,9843366,13-May-09,tree on the main road (Kiboko Road),South
Rainy Day D,Rainy Day D,RAIN D,cd,722647,9844903,20-Aug-08,communal den on plain across Main Road from Airstrip,North
Rampage Den,Rampage D,RAMP D,cd,719151,9833186,26-Nov-08,"communal den in 17km Territory, south of main road",17km
Ravenclaw Den,Ravenclaw D,RAVNCLAW D,cd,719000,9851018,31-Aug-10,communal den near long road to Olooloo,North
Redemption Den,Redemption D,RDMP D,cd,722500,9844773,9-Jul-08,"Den along main road, near Airstrip D",North
Reese's Den,Reese's D,REESE D,cd,726279,9842474,13-Mar-11,South communal den on the candy bar plain (shown to us by Brian Heath),South
Reunion Den,Reunion D,REUN D,cd,718924,9833667,15-Jul-08,Same Plain as 17km D,17km
Reykjavik Den,Reykjavik D,REYKJAV D,cd,719658,9851418,7-Feb-11,North communal den on the northern European cities plain (N of HP dens),North
Rhombush,Rhombush,RHOMBUSH,t,720508,9848034,7-Mar-10,bush near Lion Lugga,North
Riga Den,Riga D,RIGA D,cd,720119,9850866,12-Nov-11,communal D on the Northern European Cities plain,North
Rio Grande Den,Rio Grande D,RIO G D,cd,716415,9843882,6-Jan-11,HZ communal den on the border town/river plain,HZ
Rivendell Den,Rivendell D,RIVNDELL D,cd,723719,9841457,21-Sep-10,communal den near south 1 prey transect,South
Roaring Frog Den,Roaring Frog D,R FROG,cd,711227,9839416,27-Sep-08,communal den near Emerald D,Olare
Rock Lobster,Rock L,RLOB,t,726082,9842504,16-Jun-11,tall tree west of Suzi Dens in South territory,
Rocky Point Den,Rocky Pt D,ROCKPT D,cd,716191,9842646,26-May-10,communal den near burn 2 prey transect,HZ
Rocky Ridge,Rocky R,ROCKYR,o,720622,9840073,30-Jun-08,Rocky Knoll in Happy Zebra Geen Valley,HZ
Rocky Spot,Rocky  Spot,ROCKY,o,731691,9832225,8-Aug-06,,
Rongai Drift Crossing,Rongai Drift X,RONGAI,o,730717,9837926,24-Aug-06,Not a Landmark,
Rousseau Den,Rou D ,ROU D ,cd,725441,9840912,23-Dec-13,communal den near Boone D on the lost plains,
Rumpy Culvert,Rumpy C,RUMPC,o,718724,9837928,30-Jun-08,Culvert on Main Road south of Egyptian Goose,HZ
Runway Den  ,Runway D  ,RUNWYD,cd,723060,9844579,1-Aug-08,communal den near Airstrip,North
Runway Den II,Runway D II,RUNWD2,cd,723179,9844719,1-Aug-08,communal den near Airstrip,North
Salander Den,Salander D,SALANDER D,cd,720032,9850724,24/10/11,communal D on the Northern European Cities plain,North
Saucy Tree,Saucy T,SAUCYT,t,722713,9840013,5-Aug-06,,
Sault St. Marie Den,SS Marie D,SSM D,cd,716352,9844324,25-Jan-11,HZ communal den on the border town/river plain,HZ
Sausage Tree,Sausage T,SAUSAG,t,721907,9836461,21-Aug-06,,
Sawyer Den,Sawyer D,SAWYER D,cd,725256,9840952,13-Oct-10,communal den in South territory,South
Sayid Den,Sayid D,SAYID D,cd,725451,9841033,2-Nov-10,communal den in the Lost series,South
Schiphol Den,Schiphol D,SCHIPOL D,cd,723441,9844921,13-Oct-10,"communal den along main road, near Airstrip D",North
Schmuck Den,Schmuck D,SCHMUCK D,cd,720374,9839933,10-Aug-13,communal den just North of Schmutzy D,HZ
Schmutzy Den,Schmutzy D ,SCHMUTZY D,cd,720201,9839904,27-Jul-13,communal den on a lugga that LBJ X crosses,HZ
Scrapple Den,Scrapple D,SCRAPPLE D,cd,724111,9846482,22-Apr-11,North communal den on the Breakfast plain,North
Scrawny Sausage Tree,Scrawny S T,SCRAWN,t,719940,9838992,14-Jul-08,Sausage tree along census route,HZ
Seatac Den,Seatac D,SEATAC D,cd,723326,9844804,3-Aug-09,communal den 500m West of Airstrip D,North
Serena Camp,Serena Camp,CAMP,c ,724390,9845214,20-Jun-06,Fisicamp II,North
Serena Lodge,S Lodge,SERENA,c,725367,9844911,24-Jun-06,,North
Serena Maji Fisi,Serena Maji Fisi,HYEH20,wtr,719330,9838487,2-Jul-08,Small spring on Scrawny Sausage T Census Route,HZ
Shivering Tree,Shivering T,SHIV T,t,719874,9836489,14-Jul-08,Gardenia bush,HZ
Skeleton Den ,Skeleton D  ,SKEL1D,cd,718827,9833960,1-Aug-08,Same Plain as 17km D,17km
Skeleton Den II,Skeleton D II,SKEL2D,cd,718600,9833878,1-Aug-08,Same Plain as 17km D,17km
Sleepy Lion Mound,Sleepy Lion M ,Sleepy Lion M ,o,716389,9840426,18-Jun-13,Mound near a patch of scrub next to the track that comes off 9km road,HZ
Slytherin Den,Slytherin D,SLYTH D,cd,719259,9850909,25-Aug-10,communal den near long road to Olooloo,North
Smoke Monster Den,S Monster D ,MONSTER D,cd,725574,9841261,15-Nov-13,"communal den that CLOV used as a natal den, part of the Lost Series ",South
Sneaky Crossing,Sneaky X,SNEAKY X,x,717521,9841206,26-May-10,crossing to W of Border dens plain,HZ
Sneezy Trees,Sneezy T,Sneezy T,t,715664,9839193,25-Jun-13,copse of trees at the bottom of a hill on the track that comes of 9km road,HZ
Snowbird Den,Snowbird D,SNOWBD,cd,725146,9840846,26-Nov-09,communal den near Big Sky D,South
Soda Fountain Den,Soda Fountain D,SODA D,cd,718914,9851295,10-Sep-09,communal den near short road to Olooloo,North
Solid Bottom Crossing,Solid Bottom X,SOLBOT,x,717259,9846612,21-Aug-06,,
South Darting Tree,South Darting T ,SDART T,t,728578,9840730,24-Jun-12,tree/thicket by deoral used to drop off darted individuals in South,South
South Den,South Den,SOUTHD,cd,724375,9842053,16-Nov-08,communal den on southeast side of The Observatory,South
South Mara Bridge,South Mara Br,S MARA,x,724647,9828992,19-Jul-06,,
South Road Crossing,S R X,S RD X,o,725377,9838402,10-Nov-08,turn off South Murram Road to go to Oz,South
Spider X,Spider X,SPDR X,x,726796,9841038,9-Jan-11,South territory lugga crossing shown by SPDR,South
Spring Crossing,Spring X,SPRING,x,716369,9837175,25-Jun-06,,
Sprout,Sprout,SPROUT,t,720341,9843016,25-Nov-08,Tree near North South border,South
St Paddy's Den,St Paddy's D,ST PADDY D,cd,719718,9847204,26-Nov-12,communal den near EMA ND 12,
St Petersburg Den,St Pete D,ST P D,cd,719940,9851218,30-Mar-11,North communal den on the northern European cities plain (N of HP dens),North
Stanky Watering Hole,Stankho,STANKHO,wtr,721834,9847328,26-May-10,new murram pit waterhole E of Short Rd to Olololo,North
Stick Figure Hill,Stick Figure H,STICKF,o,738160,9828041,8-Aug-06,,
Stockholm Den,Stockholm D,STOCKH D,cd,719632,9851320,21-Jan-11,North communal den on the northern European cities plain (N of HP dens),North
Strasbourg Den,Strasbourg D,STRASBG D,cd,716325,9844272,13-Feb-11,HZ communal den on the border town/river plain,HZ
Sundowner Tree,Sundowner T,SNDN T,t,724132,9844414,7-Mar-09,tree E of airfield,North
Suzi Den,Suzi D,SUZI D,cd,726298,9842460,29-Jun-08,South communal den that Suzi Esterhaus photographed at; this den was accidentally re-named as Milky Way D although effort was made to change all known appearance of Milky Way D back to Suzi D.,South
Suzi Den II,Suzi D II,SUZID2,cd,726321,9842497,12-May-09,cd near Suzi D,South
Sweetgrass Den,Sweetgrass D,SWTGRASS D,cd,716351,9844270,22-Jan-11,HZ communal den on the border town/river plain,HZ
Taka Taka,Taka Taka,TAKATAKA,o,726299,9845643,15-Feb-14,Trash pit for Serena Lodge,
Tailies Den,Tailies D,TAIL D,cd ,726801,9840354,4-Sep-11,South communal den in the Lost series,South
Tallinn Den,Tallinn D,TALLINN D,cd,719639,9851358,27-Jan-11,North communal den on the northern European cities plain (N of HP dens),North
Tarmac,Tarmac,TARMAC,o,787979,9843966,25-Jun-06,Not a landmark,
Texarkana Den,Texarkana D,TEXARK D,cd,716373,9842739,23-Jun-10,communal den near burn 2 prey transect,HZ
The Abyss,The Abyss,THE ABYSS,o,725061,9842224,22-Nov-10,culvert along the low road south of Rainstick T,South
The Giver,The Giver,GIVER,t,718937,9838905,16-Jul-08,NE of Main Road,HZ
The Grotto,Grotto,GROTTO,o,723715,9846490,3-May-09,grassy lump on plain in front of camp,North
The Hatch Den,Hatch D,HATCHD,cd,727333,9840695,21-Jul-09,communal den 2km South of Ice Age D,South
The Observatory,The Observatory,OBSERV,h,723355,9843391,23-Nov-08,large hill south of the airstrip,North
The Pointer,Pointer,POINTR,t,710910,9837900,27-Nov-08,bush along lugga in south Olare territory,Olare
The Staff Den,Staff D,STAFF D,cd,727253,9840510,3-Feb-11,South communal den in the Lost series,South
Thug Mansion Den,Thug Mansion D,THUG MAN D,cd,718946,9851053,9-Sep-10,communal den near long road to Olooloo,North
Tigris D,Tigris D,TIGRIS D,cd,719693,9838330,8-Feb-14,communal den near Amazon D in Happy Zebra Territory ,HZ
Tijuana Den,Tijuana D,TJ D,cd,716446,9842598,16-Aug-09,communal den near burn 1 prey transect,HZ
Tree-rrific Tree,Tree-rrific T,TREE-RIFIC,t,719646,9850770,23-Mar-13,tree that’s over a km to the SW of Mega J.,North
Tree of Knowledge,Tree of Knowledge,TOFKNO,t,710792,9840241,29-Nov-08,Stately Tree in Olare Territory,Olare
Tunnel Den,Tunnel D,TUNN D,cd,718614,9833716,24-Feb-09,communal den under main road,17km
Twin Culverts,Twin C,TWINCU,x,716967,9849024,21-Aug-06,,
Twix Den,Twix D,TWIX D,d,726356,9842540,18-May-11,communal den near Kit Kat D,North
Two Term Tree,Two Term T,Two Term T,t,719196,9848470,7-Nov-12,tree W of lion lugga,North
TZ Border M 1,TZ Border M1,TZBM,o,716840,9832768,5-Aug-06,,
TZ Hyena Crossing,TZ Hyena X,TZ HYE,x,715709,9833469,25-Jun-06,,
Unremarkable Den,Unremarkable D,UNREMARK D,cd,722850,9847268,7-Jul-10,communal den near Unremarkable T,North
Unremarkable Tree,Unremarkable T,UNREMARK T,t,722867,9847182,26-May-10,tree near Stankho,North
Utopia Tree,Utopia T,UTOPIA T,t,716337,9847442,10-Mar-11,Sausage tree in HZ territory,HZ
Vaasa Den,Vaasa D,VAASA D,cd,720189,9851280,20-Apr-11,North communal den on the northern European cities plain (N of HP dens),North
Vandalism Den,Vandalism D,VANDAL D,cd,717253,9844123,3-Oct-10,communal den near Long Gardenia T,HZ
Venetian Crossing,Venetian X,VENI X,x,726586,9841085,3-Dec-10,Crosses the lugga that bisects South territory running NW-SE,South
Volcano,Volcano,VOLCAN,o,712400,9835102,25-Jun-06,,
Wanderlust Den,Wanderlust D,WAND D,cd,722573,9844992,10-Aug-08,communal den on plain across Main Road from Airstrip,North
Wapi Dave,Wapi Dave,WAPI DAVE,o,714549,9847570,21-Aug-13,insulberg/sundowner spot off of the 7 dwarves track,HZ
WB Middle Crossing,WB Mid X,MID WB,x,722736,9838074,22-Jun-06,,
WB Top Crossing,WB Top X,TOP WB,o,721078,9838723,22-Jun-06,,
WB V Turn,WB V Turn,WBVTUR,o,725570,9836868,22-Jun-06,,
Weaverbird Tree,Weaverbird T,WEAVER,t,719623,9835646,7-Nov-08,Tree in lugga in southeast HZ territory,HZ
West Swamp,W Swamp,W SWAM,wtr,700697,9843659,19-Aug-06,,
Western Front,Western F,WESTFT,o,723896,9840291,20-Feb-09,Plain between Oz and South,Oz/South
Whoopi Tree,Whoopi T,WHOOPI,t,713256,9842517,31-Dec-09,tree on burn 2 prey transect,HZ?
Windsor Den,Windsor D,Windsor D,cd,716432,9842596,31-Oct-11,communal den in the border cities plain ,HZ
Woods Drop Off,Woods Drop Off,WOODSDO,t,720277,9851788,29-Jun-12,tree/thicket by Mega Junction used to drop off darted individuals in North,North
Woods Spot,Woods Spot,WOODS,o,721826,9853683,21-Aug-06,,
WTF Den,WTF D,WTF D ,cd,719217,9851000,7-Sep-09,communal den near short road to Olooloo,North
Yellow Brick Road Den,YBR D,YBR D,cd,724255,9837622,12-Nov-08,communal den south of BBC lugga,Oz
Zebra Crossing,Zebra X,ZEBR X,x,725710,9836928,9-Jul-08,"Major crossing on BBC lugga, South Murram Road",Oz
Zoey Natal Den 13,ZOEY ND 13,ZOEY ND 13,nd,719236,9849302,26-Jan-13,"Natal den used by ZOEY January 2013, determined by GPS data",North
TNSL Natal Den 13,TNSL ND 13,TNSL ND 13,nd,721927,9845330,22-Feb-13,"Natal den used by TNSL Jan and Feb 2013, determined by GPS data.  Off high road. ",North 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
